Kommune;Indikator;Indikator_Original;Einheit;Jahr;Wert;Dateiname
Bochum, kreisfreie Stadt;Abwasserbehandlung;Abwasserbehandlung (%);%;2016;;bochum_Abwasserbehandlung.csv
Bochum, kreisfreie Stadt;Abwasserbehandlung;Abwasserbehandlung (%);%;2017;;bochum_Abwasserbehandlung.csv
Bochum, kreisfreie Stadt;Abwasserbehandlung;Abwasserbehandlung (%);%;2018;;bochum_Abwasserbehandlung.csv
Bochum, kreisfreie Stadt;Abwasserbehandlung;Abwasserbehandlung (%);%;2019;100.0;bochum_Abwasserbehandlung.csv
Bochum, kreisfreie Stadt;Abwasserbehandlung;Abwasserbehandlung (%);%;2020;100.0;bochum_Abwasserbehandlung.csv
Bochum, kreisfreie Stadt;Abwasserbehandlung;Abwasserbehandlung (%);%;2021;100.0;bochum_Abwasserbehandlung.csv
Bochum, kreisfreie Stadt;Abwasserbehandlung;Abwasserbehandlung (%);%;2022;100.0;bochum_Abwasserbehandlung.csv
Bochum, kreisfreie Stadt;Abwasserbehandlung;Abwasserbehandlung (%);%;2023;100.0;bochum_Abwasserbehandlung.csv
Bochum, kreisfreie Stadt;Altersarmut;Altersarmut (%);%;2016;4.2;bochum_Altersarmut.csv
Bochum, kreisfreie Stadt;Altersarmut;Altersarmut (%);%;2017;4.3;bochum_Altersarmut.csv
Bochum, kreisfreie Stadt;Altersarmut;Altersarmut (%);%;2018;4.5;bochum_Altersarmut.csv
Bochum, kreisfreie Stadt;Altersarmut;Altersarmut (%);%;2019;4.5;bochum_Altersarmut.csv
Bochum, kreisfreie Stadt;Altersarmut;Altersarmut (%);%;2020;4.4;bochum_Altersarmut.csv
Bochum, kreisfreie Stadt;Altersarmut;Altersarmut (%);%;2021;4.6;bochum_Altersarmut.csv
Bochum, kreisfreie Stadt;Altersarmut;Altersarmut (%);%;2022;5.0;bochum_Altersarmut.csv
Bochum, kreisfreie Stadt;Altersarmut;Altersarmut (%);%;2023;5.3;bochum_Altersarmut.csv
Bochum, kreisfreie Stadt;Beschäftigungsquote;Beschäftigungsquote (%);%;2016;51.1;bochum_Beschaeftigungsquote.csv
Bochum, kreisfreie Stadt;Beschäftigungsquote;Beschäftigungsquote (%);%;2017;52.0;bochum_Beschaeftigungsquote.csv
Bochum, kreisfreie Stadt;Beschäftigungsquote;Beschäftigungsquote (%);%;2018;53.5;bochum_Beschaeftigungsquote.csv
Bochum, kreisfreie Stadt;Beschäftigungsquote;Beschäftigungsquote (%);%;2019;54.5;bochum_Beschaeftigungsquote.csv
Bochum, kreisfreie Stadt;Beschäftigungsquote;Beschäftigungsquote (%);%;2020;55.2;bochum_Beschaeftigungsquote.csv
Bochum, kreisfreie Stadt;Beschäftigungsquote;Beschäftigungsquote (%);%;2021;56.8;bochum_Beschaeftigungsquote.csv
Bochum, kreisfreie Stadt;Beschäftigungsquote;Beschäftigungsquote (%);%;2022;57.7;bochum_Beschaeftigungsquote.csv
Bochum, kreisfreie Stadt;Beschäftigungsquote;Beschäftigungsquote (%);%;2023;58.1;bochum_Beschaeftigungsquote.csv
Bochum, kreisfreie Stadt;Breitbandversorgung - Private Haushalte;Breitbandversorgung - Private Haushalte (%);%;2016;;bochum_Breitbandversorgung_Haushalte.csv
Bochum, kreisfreie Stadt;Breitbandversorgung - Private Haushalte;Breitbandversorgung - Private Haushalte (%);%;2017;90.3;bochum_Breitbandversorgung_Haushalte.csv
Bochum, kreisfreie Stadt;Breitbandversorgung - Private Haushalte;Breitbandversorgung - Private Haushalte (%);%;2018;;bochum_Breitbandversorgung_Haushalte.csv
Bochum, kreisfreie Stadt;Breitbandversorgung - Private Haushalte;Breitbandversorgung - Private Haushalte (%);%;2019;;bochum_Breitbandversorgung_Haushalte.csv
Bochum, kreisfreie Stadt;Breitbandversorgung - Private Haushalte;Breitbandversorgung - Private Haushalte (%);%;2020;97.6;bochum_Breitbandversorgung_Haushalte.csv
Bochum, kreisfreie Stadt;Breitbandversorgung - Private Haushalte;Breitbandversorgung - Private Haushalte (%);%;2021;97.7;bochum_Breitbandversorgung_Haushalte.csv
